,tpc_num,E_SS,pTo_SS,Th_SS,Eh_SS,E_Arr,p0,AIC_SS,AIC_Arr,AICc_SS,AICc_Arr,LL_SS,LL_Arr,n,LkRatio,X2,p,best_mod,best_mod2,BA_pts,T0,SE_SS,SE_BA
11,24,1.071877839,0.03431828,31,2.12090705,0.509909326,0.032255585,-7.612200731,-7.027163115,-47.61220073,4.972836885,7.806100366,5.513581558,4,-2.292518808,4.585037616,0.050505856,BA,BA,NA,23,0.000898345,0.001419194
12,25,1.184090148,0.013946029,26.04741741,3.599897098,1.028516292,0.015031428,-17.7728183,-7.218153705,22.2271817,-3.218153705,12.88640915,5.609076853,6,-7.277332296,14.55466459,0.000345513,SS,BA,NA,10,0.000638074,0.003564142
13,26,0.836583395,0.083215174,35,1.75331273,0.631852105,0.096204793,-16.15311439,-4.958379353,-8.15311439,-3.244093639,12.07655719,4.479189677,10,-7.597367518,15.19473504,0.000250885,SS,BA,NA,12,0.005934401,0.017352711
14,27,0.825556619,0.081364214,35,1.609278216,0.617656361,0.093288629,-16.62656491,-6.281750456,-8.626564907,-4.567464742,12.31328245,5.140875228,10,-7.172407226,14.34481445,0.000383737,SS,BA,NA,12,0.005665052,0.014596732
15,28,0.833156981,0.08610202,35,1.41156793,0.62191967,0.097095452,-18.12057515,-8.837807683,-10.12057515,-7.123521969,13.06028757,6.418903842,10,-6.641383731,13.28276746,0.00065261,SS,BA,NA,12,0.004651736,0.01264848
16,29,0.887842621,0.080240003,35,1.611802118,0.679994793,0.091991823,-18.12184485,-6.848015907,-10.12184485,-5.133730193,13.06092243,5.424007953,10,-7.636914473,15.27382895,0.000241157,SS,BA,NA,12,0.006730074,0.016917753
17,30,0.875787099,0.091096305,35,1.387090911,0.664258374,0.102516621,-14.32983643,-7.379756997,-6.32983643,-5.665471283,11.16491822,5.689878499,10,-5.475039717,10.95007943,0.002095031,SS,BA,NA,12,0.007752138,0.015030384
18,31,0.821541571,0.092377999,35,1.538271682,0.612274063,0.105422688,-12.42850713,-5.297573998,-4.428507131,-3.583288284,10.21425357,4.648786999,10,-5.565466566,11.13093313,0.001913897,SS,BA,NA,12,0.006548874,0.015649079
19,32,0.892723468,0.088823391,35,1.783373408,0.688708322,0.102849499,-14.50168054,-4.226522432,-6.501680539,-2.512236718,11.25084027,4.113261216,10,-7.137579053,14.27515811,0.000397337,SS,BA,NA,12,0.00703308,0.022021028
20,33,0.810351987,0.071596435,35,1.866238335,0.608346741,0.083139732,-18.03855608,-4.851673956,-10.03855608,-3.137388242,13.01927804,4.425836978,10,-8.59344106,17.18688212,9.27E-05,SS,BA,NA,12,0.005144294,0.015095406
